crypto_name,crypto_symbol,date,open_value,high_value,low_value,close_value,volume_value
Bitcoin,BTC,2020-09-01,11649.51,12050.85,11515.0,11921.97,78148.193668
Bitcoin,BTC,2020-08-31,11711.17,11800.77,11570.0,11649.51,55353.617744
Bitcoin,BTC,2020-08-30,11465.84,11719.0,11458.0,11711.16,43177.879054
Bitcoin,BTC,2020-08-29,11526.9,11580.02,11417.04,11465.84,32973.7992
Bitcoin,BTC,2020-08-28,11330.38,11542.65,11276.89,11526.91,45953.908365
Bitcoin,BTC,2020-08-27,11461.42,11592.2,11125.0,11330.38,63246.036383
Bitcoin,BTC,2020-08-26,11318.42,11539.32,11244.0,11461.43,53998.231231
Bitcoin,BTC,2020-08-25,11748.19,11767.85,11117.64,11318.42,69590.923272
Bitcoin,BTC,2020-08-24,11648.12,11824.9,11585.09,11748.2,46212.391867
Bitcoin,BTC,2020-08-23,11663.51,11718.07,11514.13,11648.13,37900.00469
Bitcoin,BTC,2020-08-22,11531.23,11686.0,11376.81,11662.96,43678.701646
Bitcoin,BTC,2020-08-21,11853.54,11878.0,11485.81,11531.34,64448.306142
Bitcoin,BTC,2020-08-20,11754.38,11888.0,11668.0,11853.55,46085.254351
Bitcoin,BTC,2020-08-19,11945.1,12020.08,11561.0,11754.59,73940.169606
Bitcoin,BTC,2020-08-18,12281.15,12387.77,11817.93,11945.01,75923.835527
Bitcoin,BTC,2020-08-17,11910.99,12468.0,11769.78,12281.13,84734.21154
Bitcoin,BTC,2020-08-16,11852.4,11931.72,11686.0,11911.0,41368.236906
Bitcoin,BTC,2020-08-15,11760.55,11980.0,11680.0,11852.4,56237.90505
Bitcoin,BTC,2020-08-14,11779.77,11850.0,11634.03,11760.54,59818.852697
Bitcoin,BTC,2020-08-13,11564.34,11792.96,11270.36,11780.0,70132.491502
Bitcoin,BTC,2020-08-12,11392.09,11617.52,11150.0,11564.33,64909.613644
Bitcoin,BTC,2020-08-11,11892.9,11935.0,11125.0,11392.08,90748.284634
